Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Pakistan,PAK,Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,..,0.951330570925669,-0.686357566446018,6.58306895387948,7.76353310799403,6.3422978082871,11.9675931414829,-0.613195035935297,6.1869958622856,3.76685626502603,6.19041816801868,12.8825371003551,6.2133933491116,1.34976431979614,-2.42174341992953,18.6390312037537,10.8176659411317,12.6862755815934,17.9786372414795,10.9647109733782,11.2386382212995,3.62193838876951,15.9084203639505,5.05343308337913,6.19068688695308,2.42521976389316,7.11351936993272,16.4150406066757,2.13656071125533,7.23316379532067,7.54820835287248,18.3416543573161,23.3194429029464,1.75295184089623,3.62147797940311,8.66344406029246,15.5347314192694,4.03167197327043,2.5112924021334,-1.51984282629659,2.56899539622798,-4.4993961948084,1.21798073577139,-3.18837234062465,8.37163379577933,4.42913958363406,2.41942824453837,6.37096039406008,13.213991008483,5.91246643446265,8.4911051487273,14.1148186577313,12.937998531815,14.6752582486072,3.18327844753208,7.93054262223552,7.20039302073888,6.2976253465253,7.32151992461945,13.0914301154382,11.1474716810288,7.91088851936106,15.3340222152781,21.5104971826633
Pakistan,PAK,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,24.7227512042119,22.8572400601822,21.6087234738296,22.3801321558862,22.6915158719279,22.3409979598461,24.8080692451752,21.5536938613746,22.4424525118523,22.3304291177986,21.7452933382643,25.7072946064409,26.5651564024094,22.0741929352667,16.042721838534,17.9398266112925,18.4367275651242,20.2833058883458,23.2340845878959,24.9923814429118,24.8389316698992,22.1759084193223,24.3581414821618,23.5028661146364,22.7581474111584,21.0940108824004,22.0110209351216,26.1727330210802,23.0053435433506,22.8105920644203,23.1594969498436,25.4433705026925,29.106525382104,26.9540481903929,24.3891243682499,23.8783680742832,26.9717980034204,25.1699182985438,23.9238890964264,21.148092774105,12.7303752637226,10.4105720797263,10.1056745882997,8.2960844310305,9.74963088910082,10.0410340550455,9.74161529051934,11.0964800407797,15.4793129133931,15.6420099879072,17.4403791216176,20.1755720429126,22.9058301929747,26.4862718627832,25.0600927000735,26.4231897866104,27.7864838038134,28.5214147298868,29.2890246971419,32.2074031429778,34.9288586704755,33.4119797918376,34.5721266985002,35.3262609000727
Pakistan,PAK,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pakistan,PAK,Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.96169405905203,12.7492125046869,16.3642475585697,16.9279995288971,11.3307565017583,9.47499966534084,9.75540633690423,6.40394397493721,1.82148788558321,-2.0882698921042,3.67994892818679,2.93087756412346,4.2317133127435,3.04374649762256,5.37969866093188,5.68847906487248,8.16043599618424,2.83599492590684,1.62027026315319,6.30824141987308,5.50958835437837,1.48392908205713
Pakistan,PAK,Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,..,5.34335355763927,10.5294142986373,9.91127376125533,17.4153568813025,10.0339536523369,13.3595952894344,8.1218760698391,3.58720012730914,4.47236684611166,8.53762896862773,2.90524814356137,12.6057289526851,7.25710494623966,0.408083086730329,11.6511610753536,19.7242682075052,12.1881710638758,7.15921893876665,12.9443263003792,7.70767081760632,12.3104223522836,12.1612233917094,12.1265195772598,3.47519664551768,17.6362407306576,11.5026634879478,2.2413159440555,7.6474105451774,4.89477499082782,5.00159971205183,6.02344001172568,14.4774880657222,8.27908116057757,7.79920673779957,10.7688409570685,8.83999714636444,7.67623994140275,6.32007005403558,6.02500869292471,8.05412953335222,4.20654226113244,2.86105041887506,11.7845546462676,17.9992677459331,8.65418243892,10.6185228874049,7.91555275545397,8.89793831832299,-0.988804740096588,2.7018336713879,1.65735294385548,0.944576229339215,2.05111566265653,2.70205628530285,2.29103801561534,3.97976436760444,3.84776350267184,5.8746021971303,1.75796880322124,1.22992632540156,5.47235713150013,4.63108854222895,0.53424409337067
Pakistan,PAK,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.08734899293006,7.18305343813036,7.32404770854752,7.55161739051389,7.85788720406335,7.91352324663182,7.93328611675268,8.08496944044884,8.34683376274466,8.71837318030557,9.0542972485469,9.49025688642731,9.89079121106828,10.2023905289135,10.3397253375251,10.5025793054864,10.4206492852491,10.4692959746931,10.7657902105724,10.8332490960739
Pakistan,PAK,Consumer price index (2010 = 100),FP.CPI.TOTL,2.07206477777001,2.1060553417098,2.09517836124908,2.12569439204514,2.21453963599485,2.33785927586943,2.50683089782015,2.67758116842646,2.68214985417642,2.7676296158709,2.91569339729334,3.05362585648974,3.21190254143578,3.95289115654883,5.0068519033502,6.05350973300405,6.48683955679125,7.14414891301474,7.58270625848807,8.2095721469427,9.18964982662594,10.281372285485,10.8883360577857,11.5810556453586,12.2860138122501,12.9758537341009,13.4308409181788,14.0595679341515,15.3021436931997,16.5024843549917,17.9963109482854,20.1183046225505,22.0313625505404,24.2286967934559,27.2253491119294,30.5859314561017,33.7588574403676,37.5990938670644,39.9407669950638,41.5953680589067,43.4116982349521,44.7784119934962,46.2517761109697,47.5996151682609,51.1432278730536,55.7785060429291,60.1967685839765,64.7709310539966,77.910440560645,88.5434744486706,100,111.916092711628,122.752202596554,132.194493659787,141.698463473481,145.282482630176,150.752541224988,156.911345866617,164.879393855103,182.320932671494,200.078979004625,219.078900139702,262.618333965596,343.42107928414
Pakistan,PAK,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,4.762,5.807,10.573,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,10.55,12.7,13.476,15.16,16.13,17.165,17.555,19.161658,21.393,22.36915,24.780467,25.895175,30.082092,30.772475,33.483375,38.894475,43.0547,46.660299,51.7375,58.22,61.58,58.57,57.57,59.3576,59.8566,60.6342,62.5465,78.4983,83.915841,85.568858,89.340331,96.816042,102.998513,101.43191,104.342853,104.812025,110.044118,136.482107,158.24353,160.21107,177.806331,248.453287
Pakistan,PAK,Deposit interest rate (%),FR.INR.DPST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.63416666666667,2.59583333333333,4.17416666666667,5.30833333333333,6.91833333333333,8.68083333333333,8.145,8.22583333333333,7.97916666666667,7.17166666666667,7.265,5.9725,4.83416666666667,4.4775,5.225,9.13199012923062,7.47453443568891,5.75153187603233,..,..
Pakistan,PAK,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,118.022917876801,128.661997131277,177.61414639796,193.159509517064,191.8509366452,196.934255309691,220.561740774743,237.510318359881,249.607923781041,269.272637312179,284.997671729812,310.625337952798,321.040697072053,355.640770730149,375.309166502284,393.52389106853,419.127727310771,446.507928190813,465.211794511768,585.01989697851
Pakistan,PAK,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
